"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\setup.js", "JavaScript", 0, -95, -5, -6, -106
"c:\xampp\htdocs\fd\resources\js\3D\modules\module_3D_init.js", "JavaScript", 0, -75, -11, -10, -96
"c:\xampp\htdocs\fd\resources\js\ADMIN\Designs\AdminProjectList.js", "JavaScript", 0, -440, -22, -19, -481
"c:\xampp\htdocs\fd\resources\js\ADMIN\Eventhandler.js", "JavaScript", 0, -43, -4, -6, -53
"c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminChartTemplate.js", "JavaScript", 0, -17, -5, -4, -26
"c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminLogin.js", "JavaScript", 0, -65, 0, -2, -67
"c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminNavigation.js", "JavaScript", 0, -66, -1, -3, -70
"c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminPaths.js", "JavaScript", 0, -18, 0, -5, -23
"c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminTemplate.js", "JavaScript", 0, -36, 0, -3, -39
"c:\xampp\htdocs\fd\resources\js\ADMIN\order\orderDetails.js", "JavaScript", 0, -224, -11, -26, -261
"c:\xampp\htdocs\fd\resources\js\ADMIN\order\orderList.js", "JavaScript", 0, -249, -26, -8, -283
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_couponCodes.js", "JavaScript", 0, -75, -2, -9, -86
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_designs.js", "JavaScript", 0, -26, 0, 0, -26
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_engraving.js", "JavaScript", 0, -19, -1, -3, -23
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_index.js", "JavaScript", 0, -22, 0, -3, -25
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_login.js", "JavaScript", 0, -133, -2, -8, -143
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_orders.js", "JavaScript", 0, -45, -1, -2, -48
