"filename", "language", "CSS", "SCSS", "PHP", "JavaScript", "JSON", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\php\Designs\designs.php", "PHP", 0, 0, 133, 0, 0, 0, 2, 8, 143
"c:\xampp\htdocs\fd\resources\php\Designs\designsAccess.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\fd\resources\php\Designs\editDesign.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\xampp\htdocs\fd\resources\php\Designs\getDesigns.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\xampp\htdocs\fd\resources\php\Designs\newDesign.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\xampp\htdocs\fd\resources\php\Designs\php_errors.log", "Log", 0, 0, 0, 0, 0, 45, 0, 1, 46
"c:\xampp\htdocs\fd\resources\php\Designs\removeDesign.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\xampp\htdocs\fd\resources\php\FolderSyS\FolderSySCore.php", "PHP", 0, 0, 177, 0, 0, 0, 0, 11, 188
"c:\xampp\htdocs\fd\resources\php\Paths.php", "PHP", 0, 0, 576, 0, 0, 0, 9, 27, 612
"c:\xampp\htdocs\fd\resources\php\Paypal\Paypal.php", "PHP", 0, 0, 176, 0, 0, 0, 1, 28, 205
"c:\xampp\htdocs\fd\resources\php\Paypal\database.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\fd\resources\php\Time.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\fd\resources\php\balance\balanceADD.php", "PHP", 0, 0, 24, 0, 0, 0, 1, 5, 30
"c:\xampp\htdocs\fd\resources\php\balance\balanceCORE.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\fd\resources\php\balance\balanceGET.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 4, 59
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\Core.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\createDeliveryNotePDF.php", "PHP", 0, 0, 25, 0, 0, 0, 2, 5, 32
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\createInvoicePDF.php", "PHP", 0, 0, 32, 0, 0, 0, 21, 6, 59
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\d-editContact.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 9, 32
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\newContact.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\newDeliveryNote.php", "PHP", 0, 0, 37, 0, 0, 0, 2, 7, 46
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\newInvoice.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\newOrder.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\fd\resources\php\balance\lexOffice\newOrderConfirmation.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponCode.php", "PHP", 0, 0, 60, 0, 0, 0, 0, 6, 66
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponCodeAccess.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponcodeCheck.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponcodeCore.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 8, 76
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponcodeCreate.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 8, 58
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponcodeGet.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\fd\resources\php\code\coupon\couponcodeRemove.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\fd\resources\php\code\d - mail\GetMailVerificationCode.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\xampp\htdocs\fd\resources\php\code\d - mail\mailcodeCore.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\xampp\htdocs\fd\resources\php\code\d - mail\mailcodeCreate.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\xampp\htdocs\fd\resources\php\code\d - mail\mailcodeGet.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\fd\resources\php\code\d - mail\mailcodeRemove.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\xampp\htdocs\fd\resources\php\collector\collectorAddClick.php", "PHP", 0, 0, 58, 0, 0, 0, 1, 6, 65
"c:\xampp\htdocs\fd\resources\php\collector\collectorCore.php", "PHP", 0, 0, 116, 0, 0, 0, 5, 18, 139
"c:\xampp\htdocs\fd\resources\php\collector\collectorCreateMap.php", "PHP", 0, 0, 88, 0, 0, 0, 0, 14, 102
"c:\xampp\htdocs\fd\resources\php\collector\collectorGetClick.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 5, 75
"c:\xampp\htdocs\fd\resources\php\collector\collectorLocationAdd.php", "PHP", 0, 0, 42, 0, 0, 0, 1, 5, 48
"c:\xampp\htdocs\fd\resources\php\collector\collectorLocationGet.php", "PHP", 0, 0, 27, 0, 0, 0, 1, 5, 33
"c:\xampp\htdocs\fd\resources\php\collector\collectorTimeAdd.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 28
"c:\xampp\htdocs\fd\resources\php\collector\collectorTimeGet.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 5, 34
"c:\xampp\htdocs\fd\resources\php\converter\3Dprint\3Dprint.php", "PHP", 0, 0, 236, 0, 0, 0, 6, 5, 247
"c:\xampp\htdocs\fd\resources\php\converter\3Dprint\3DprintHelper.php", "PHP", 0, 0, 144, 0, 0, 0, 3, 15, 162
"c:\xampp\htdocs\fd\resources\php\converter\3Dprint\3DprintVase.php", "PHP", 0, 0, 59, 0, 0, 0, 2, 8, 69
"c:\xampp\htdocs\fd\resources\php\converter\NCHelper.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\fd\resources\php\converter\SVG\StartGeneratingSVG.php", "PHP", 0, 0, 278, 0, 0, 0, 4, 19, 301
"c:\xampp\htdocs\fd\resources\php\converter\SVG\createSVG.php", "PHP", 0, 0, 484, 0, 0, 0, 24, 21, 529
"c:\xampp\htdocs\fd\resources\php\converter\SVG\d - saveSVG.php", "PHP", 0, 0, 149, 0, 0, 0, 11, 11, 171
"c:\xampp\htdocs\fd\resources\php\converter\SVG\generateLaserData.php", "PHP", 0, 0, 80, 0, 0, 0, 9, 10, 99
"c:\xampp\htdocs\fd\resources\php\converter\converter.php", "PHP", 0, 0, 59, 0, 0, 0, 32, 20, 111
"c:\xampp\htdocs\fd\resources\php\converter\converterAccess.php", "PHP", 0, 0, 9, 0, 0, 0, 12, 1, 22
"c:\xampp\htdocs\fd\resources\php\converter\converterCore.php", "PHP", 0, 0, 529, 0, 0, 0, 69, 39, 637
"c:\xampp\htdocs\fd\resources\php\converter\copyImage.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\xampp\htdocs\fd\resources\php\converter\create\creator.php", "PHP", 0, 0, 4, 0, 0, 0, 438, 32, 474
"c:\xampp\htdocs\fd\resources\php\converter\create\creatorHelper.php", "PHP", 0, 0, 641, 0, 0, 0, 15, 23, 679
"c:\xampp\htdocs\fd\resources\php\converter\cropImage.php", "PHP", 0, 0, 77, 0, 0, 0, 1, 12, 90
"c:\xampp\htdocs\fd\resources\php\converter\image\d - imageGetByJS.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 8, 54
"c:\xampp\htdocs\fd\resources\php\converter\image\d - imageGetData.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\xampp\htdocs\fd\resources\php\converter\image\d - imageGetSingleData.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\fd\resources\php\converter\image\d - imageWriteData.php", "PHP", 0, 0, 74, 0, 0, 0, 2, 11, 87
"c:\xampp\htdocs\fd\resources\php\converter\image\filter\filterByJS.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\fd\resources\php\converter\image\filter\filterCore.php", "PHP", 0, 0, 288, 0, 0, 0, 215, 50, 553
